,yl,xl,method
628,-21440,40.0,Supervisory
629,-1380,40.0,Supervisory
630,58650,40.0,Supervisory
631,38560,40.0,Supervisory
632,-91370,40.0,Supervisory
633,-72310,40.0,Supervisory
634,-51650,40.0,Supervisory
635,18590,40.0,Supervisory
636,48430,40.0,Supervisory
637,18620,40.0,Supervisory
638,-91260,40.0,Supervisory
639,118410,40.0,Supervisory
640,-111420,40.0,Supervisory
641,-51440,40.0,Supervisory
642,97600,40.0,Supervisory
643,38640,40.0,Supervisory
644,7720,40.0,Supervisory
645,38630,40.0,Supervisory
646,28680,40.0,Supervisory
647,88520,40.0,Supervisory
648,58390,40.0,Supervisory
649,136790,40.0,Supervisory
650,88500,50.0,Supervisory
651,-151360,50.0,Supervisory
652,138550,50.0,Supervisory
653,-1420,50.0,Supervisory
654,57700,50.0,Supervisory
655,-141350,50.0,Supervisory
656,88430,50.0,Supervisory
657,-111300,50.0,Supervisory
658,-131230,50.0,Supervisory
659,-72130,50.0,Supervisory
660,28670,50.0,Supervisory
661,-21340,50.0,Supervisory
662,-111430,50.0,Supervisory
663,-1400,50.0,Supervisory
664,-101340,50.0,Supervisory
665,-41310,50.0,Supervisory
666,67720,50.0,Supervisory
667,-32300,50.0,Supervisory
668,-31490,50.0,Supervisory
669,-21420,50.0,Supervisory
670,58530,50.0,Supervisory
671,48510,50.0,Supervisory
672,-31350,50.0,Supervisory
673,128640,50.0,Supervisory
674,-41410,50.0,Supervisory
675,138460,50.0,Supervisory
676,17660,50.0,Supervisory
677,-41380,50.0,Supervisory
678,98600,50.0,Supervisory
679,-91230,50.0,Supervisory
680,-51230,50.0,Supervisory
681,28500,50.0,Supervisory
682,88490,50.0,Supervisory
683,67600,50.0,Supervisory
684,38520,50.0,Supervisory
685,-41330,50.0,Supervisory
686,118440,50.0,Supervisory
687,-11330,50.0,Supervisory
688,38410,50.0,Supervisory
689,28540,50.0,Supervisory
690,27700,50.0,Supervisory
691,-1450,50.0,Supervisory
692,88680,50.0,Supervisory
693,8490,50.0,Supervisory
694,98620,50.0,Supervisory
695,-121390,50.0,Supervisory
696,-101450,50.0,Supervisory
697,38440,50.0,Supervisory
698,-1380,50.0,Supervisory
699,48620,50.0,Supervisory
700,38550,60.0,Supervisory
701,178540,60.0,Supervisory
702,-41530,60.0,Supervisory
703,-23260,60.0,Supervisory
704,48530,60.0,Supervisory
705,48650,60.0,Supervisory
706,-51320,60.0,Supervisory
707,-51340,60.0,Supervisory
708,-74300,60.0,Supervisory
709,-91430,60.0,Supervisory
710,-112130,60.0,Supervisory
711,118330,60.0,Supervisory
712,78580,60.0,Supervisory
713,-91320,60.0,Supervisory
714,-41290,60.0,Supervisory
715,-101410,60.0,Supervisory
716,-21330,60.0,Supervisory
717,-41400,60.0,Supervisory
718,-51390,60.0,Supervisory
719,7570,60.0,Supervisory
720,-61400,60.0,Supervisory
721,-81270,60.0,Supervisory
722,28530,60.0,Supervisory
723,-41380,60.0,Supervisory
724,-11290,60.0,Supervisory
725,28650,60.0,Supervisory
726,67480,60.0,Supervisory
727,-101300,60.0,Supervisory
728,-81380,60.0,Supervisory
729,-1570,60.0,Supervisory
730,-51390,60.0,Supervisory
731,-81360,60.0,Supervisory
732,28530,60.0,Supervisory
733,48540,60.0,Supervisory
734,-21400,60.0,Supervisory
735,-71430,60.0,Supervisory
736,-92090,60.0,Supervisory
737,8450,60.0,Supervisory
738,-41320,60.0,Supervisory
739,-101330,60.0,Supervisory
740,-1440,60.0,Supervisory
741,38660,60.0,Supervisory
742,-21380,60.0,Supervisory
